	arginase+ cells	carbohydrate metabolic cells	chaetal sacs	eleocytes	epidermis	globin+ cells	gut	ldlrr+ cells	lipoxygenase+ cells	lumbrokinase+ cells	metanephridia	muscle	neurons	piwi+ cells	polycystin cells	secretory	unnanotated	vigilin+ cells
PrileiEVm000250t1	0	0	0	0	2	1	2	1	2	0	0	3	33	8	3	0	0	0
PrileiEVm000251t1	2	1	1	1	18	1	267	2	2	1	0	5	4	58	107	0	2	0
PrileiEVm000252t1	0	1	11	15	34	4	32	0	2	4	1	25	16	157	3	1	6	1
PrileiEVm000253t1	2	0	9	21	14	18	39	1	2	1	1	47	8	711	1	0	22	0
PrileiEVm000254t1	1	0	0	1	4	1	2	0	0	0	0	0	0	11	1	2	5	0
PrileiEVm000255t1	0	1	11	4	25	4	31	0	4	2	2	14	12	93	14	0	2	0
PrileiEVm000256t1	0	1	0	0	61	0	4	0	0	0	0	2	0	8	2	0	0	0
PrileiEVm000257t1	0	0	5	2	5	0	3	0	0	0	0	4	0	7	27	0	2	0
PrileiEVm000258t1	16	1	3	1	9	3	374	2	1	0	0	15	8	32	123	0	5	0
PrileiEVm000259t1	3	0	7	1	34	0	45	0	0	0	0	22	3	11	6	0	1	0
PrileiEVm000260t1	0	2	2	1	4	1	4	1	0	1	0	4	89	16	32	0	2	0
PrileiEVm000261t1	3	1	10	2	22	5	64	1	4	2	0	14	27	79	18	2	1	1
PrileiEVm000262t1	3	2	37	16	41	12	90	1	21	4	6	22	25	180	29	2	7	9
PrileiEVm000263t1	3	4	19	6	35	2	34	1	13	2	1	51	33	167	14	0	2	2
PrileiEVm000264t1	0	0	2	0	0	0	7	0	0	0	5	58	1	8	0	0	0	0
PrileiEVm000265t1	7	7	62	38	91	30	138	5	24	9	4	116	64	761	30	9	15	4
PrileiEVm000266t1	2	1	3	4	9	3	12	0	0	0	1	11	7	74	6	0	1	2
PrileiEVm000267t1	1	0	5	0	8	4	12	0	1	0	0	1	5	111	1	0	7	0
PrileiEVm000268t1	3	0	14	16	36	14	90	2	2	2	0	690	41	214	15	0	8	4
PrileiEVm000269t1	3	6	48	32	98	29	153	0	18	8	5	91	69	533	38	0	16	3
PrileiEVm000270t1	1	0	0	1	77	1	3	0	0	0	0	1	1	23	3	0	0	1
PrileiEVm000271t1	3	0	24	4	27	5	40	2	0	0	0	93	28	74	27	2	1	0
PrileiEVm000272t1	5	2	15	9	17	55	221	0	11	2	11	10	10	468	4	0	19	0
PrileiEVm000273t1	0	0	12	7	20	4	22	1	1	0	1	21	12	82	5	0	0	0
PrileiEVm000274t1	1	1	3	7	10	5	12	2	1	1	0	686	13	40	2	1	7	0
PrileiEVm000275t1	8	14	152	347	691	19	576	5	8	12	0	25	23	593	50	3	31	2
PrileiEVm000276t1	6	13	217	326	764	18	515	4	10	19	1	44	28	567	46	1	30	0
PrileiEVm000277t1	5	4	35	21	94	19	132	3	13	3	7	165	110	462	35	1	16	0
PrileiEVm000278t1	1	10	14	6	13	7	36	1	1725	1	3	19	19	56	13	0	3	0
PrileiEVm000279t1	0	0	1	2	1	1	2	0	0	0	0	2	20	2	0	0	2	0
PrileiEVm000280t1	1	3	5	4	15	9	38	1	4	4	0	13	9	133	8	0	2	2
