id genecolor
PrileiEVm000296t1 #82B3A9
PrileiEVm000297t1 #4565B2
PrileiEVm000298t1 #EE5C42
PrileiEVm000299t1 #D26666
PrileiEVm000300t1 #6A1414
PrileiEVm000301t1 #CF9356
PrileiEVm000302t1 #7F6FAF
PrileiEVm000303t1 #CF9356
PrileiEVm000304t1 #FFCC33
PrileiEVm000305t1 #8B8B00
PrileiEVm000306t1 #ECE44C
PrileiEVm000307t1 #B22222
PrileiEVm000308t1 #93C5FB
PrileiEVm000309t1 #DDCDCC
PrileiEVm000310t1 #F3C9DE
PrileiEVm000311t1 #D26666
PrileiEVm000312t1 #82B3A9
PrileiEVm000313t1 #FFCC33
PrileiEVm000314t1 #A2B63C
PrileiEVm000315t1 #FFCC33
PrileiEVm000316t1 #FFCC33
PrileiEVm000317t1 #B22222
PrileiEVm000318t1 #4565B2
PrileiEVm000319t1 #FEE391
PrileiEVm000320t1 #6D4C2B
PrileiEVm000321t1 #002E4E
PrileiEVm000322t1 #A2B63C
PrileiEVm000323t1 #E066FF
PrileiEVm000324t1 #FFE7A3
PrileiEVm000325t1 #7F6FAF
PrileiEVm000326t1 #228B22
PrileiEVm000327t1 #585858
PrileiEVm000328t1 #FFCC33
PrileiEVm000329t1 #E066FF
PrileiEVm000330t1 #4565B2
PrileiEVm000331t1 #6A1414
PrileiEVm000333t1 #D26666
PrileiEVm000334t1 #E066FF
PrileiEVm000335t1 #021AE0
PrileiEVm000336t1 #4D9385
PrileiEVm000337t1 #6A1414
PrileiEVm000338t1 #FF8BC9
PrileiEVm000339t1 #FF8BC9
PrileiEVm000340t1 #FFAE7D
PrileiEVm000341t1 #FF8BC9
PrileiEVm000342t1 #004370
PrileiEVm000343t1 #FFCC33
PrileiEVm000344t1 #8B8B00
PrileiEVm000345t1 #FFAE7D
PrileiEVm000346t1 #93C5FB
PrileiEVm000347t1 #8B8B00
PrileiEVm000348t1 #FEE391
PrileiEVm000349t1 #ECE44C
PrileiEVm000350t1 #FA9E42
PrileiEVm000351t1 #6BAED6
PrileiEVm000352t1 #4565B2
PrileiEVm000353t1 #585858
PrileiEVm000354t1 #FEC960
PrileiEVm000355t1 #D26666
PrileiEVm000356t1 #8B8B00
PrileiEVm000357t1 #FF8BC9
PrileiEVm000358t1 #7F6FAF
PrileiEVm000359t1 #93C5FB
PrileiEVm000360t1 #82B3A9
PrileiEVm000361t1 #A2B63C
PrileiEVm000362t1 #82B3A9
PrileiEVm000363t1 #78A4D0
PrileiEVm000364t1 #FFCC33
PrileiEVm000365t1 #FEE391
PrileiEVm000366t1 #E066FF
PrileiEVm000367t1 #4565B2
PrileiEVm000368t1 #FFCC33
PrileiEVm000369t1 #93C5FB
PrileiEVm000370t1 #FFCC33
PrileiEVm000371t1 #78A4D0
PrileiEVm000372t1 #DDCDCC
PrileiEVm000373t1 #FFCC33
PrileiEVm000374t1 #585858
PrileiEVm000375t1 #FFAE7D
PrileiEVm000376t1 #004370
PrileiEVm000377t1 #FFE7A3
PrileiEVm000378t1 #021AE0
PrileiEVm000379t1 #8DFFCF
PrileiEVm000380t1 #FF8BC9
PrileiEVm000381t1 #FFE7A3
PrileiEVm000382t1 #FFCC33
PrileiEVm000383t1 #93C5FB
PrileiEVm000384t1 #004370
PrileiEVm000385t1 #8DFFCF
PrileiEVm000386t1 #B3A982
PrileiEVm000387t1 #FFE7A3
PrileiEVm000388t1 #ECE44C
PrileiEVm000389t1 #021AE0
PrileiEVm000390t1 #074722
PrileiEVm000391t1 #FFAE7D
