	arginase+ cells	carbohydrate metabolic cells	chaetal sacs	eleocytes	epidermis	globin+ cells	gut	ldlrr+ cells	lipoxygenase+ cells	lumbrokinase+ cells	metanephridia	muscle	neurons	piwi+ cells	polycystin cells	secretory	unnanotated	vigilin+ cells
PrileiEVm000246t1	3	2	23	23	182	39	87	6	9	3	3	96	86	254	41	6	25	11
PrileiEVm000247t1	1	2	10	8	81	12	35	0	2	2	0	12	29	315	12	1	9	1
PrileiEVm000248t1	13	16	49	74	365	53	379	7	10	10	7	177	56	439	51	5	32	16
PrileiEVm000249t1	6	25	89	174	608	128	358	5	24	13	14	290	141	670	99	15	33	29
PrileiEVm000250t1	0	0	0	1	2	3	5	1	2	2	0	5	92	9	7	0	4	0
PrileiEVm000251t1	11	3	1	3	51	5	891	2	3	5	1	15	12	72	218	1	7	8
PrileiEVm000252t1	2	3	14	20	96	15	71	0	5	7	1	52	30	206	11	3	7	8
PrileiEVm000253t1	2	1	12	31	26	46	54	1	4	3	1	102	11	903	3	0	24	1
PrileiEVm000254t1	1	0	0	1	9	4	3	0	0	0	0	1	1	16	2	14	7	0
PrileiEVm000255t1	2	2	18	8	91	21	66	1	4	6	2	24	19	132	27	0	3	4
PrileiEVm000256t1	0	4	0	0	441	2	9	0	6	2	0	6	7	15	9	3	5	1
PrileiEVm000257t1	0	0	6	2	13	1	10	0	0	0	0	9	2	9	88	0	3	1
PrileiEVm000258t1	28	4	5	2	31	7	1139	2	2	3	1	31	15	44	239	2	5	4
PrileiEVm000259t1	8	0	19	2	238	2	131	0	4	4	1	58	9	21	16	0	3	0
PrileiEVm000260t1	1	2	2	2	14	8	7	1	2	1	0	12	218	23	74	3	4	0
PrileiEVm000261t1	4	4	17	7	81	22	145	6	7	9	0	31	61	124	38	10	8	14
PrileiEVm000262t1	6	3	54	36	143	40	172	4	30	14	7	49	64	227	49	26	17	107
PrileiEVm000263t1	4	4	26	18	139	28	109	1	20	12	3	88	68	230	23	0	9	7
PrileiEVm000264t1	1	0	3	1	3	1	8	1	1	1	7	112	6	14	2	1	0	1
PrileiEVm000265t1	14	13	88	92	497	170	384	9	46	27	11	284	174	1181	83	26	38	76
PrileiEVm000266t1	2	1	6	10	46	9	28	0	4	3	3	32	18	113	14	2	1	4
PrileiEVm000267t1	1	2	8	1	29	13	26	1	1	2	0	6	15	143	4	0	11	5
PrileiEVm000268t1	4	3	22	28	106	33	206	4	7	2	2	1091	71	291	29	6	14	17
PrileiEVm000269t1	5	14	69	76	349	87	273	4	26	15	7	191	157	713	79	11	36	39
PrileiEVm000270t1	1	0	0	3	215	6	9	0	1	0	1	4	4	41	36	1	3	4
PrileiEVm000271t1	5	3	39	16	128	23	102	6	1	1	0	163	77	110	50	3	12	3
PrileiEVm000272t1	10	8	18	19	60	126	357	1	12	12	12	30	18	637	9	4	26	15
PrileiEVm000273t1	3	1	23	22	103	18	71	3	2	2	2	59	45	140	16	4	6	1
PrileiEVm000274t1	1	1	5	13	35	11	39	3	2	6	0	1151	27	63	7	15	15	3
PrileiEVm000275t1	14	25	220	483	1990	57	851	9	13	48	3	49	40	731	91	10	49	6
PrileiEVm000276t1	11	21	295	465	2060	58	792	7	13	49	4	78	47	722	79	7	62	9
PrileiEVm000277t1	13	10	67	58	356	81	329	14	29	15	11	389	292	720	85	12	35	22
PrileiEVm000278t1	7	10	21	25	58	37	70	2	3452	6	6	45	38	80	16	4	4	12
PrileiEVm000279t1	1	0	3	4	4	4	4	0	1	0	0	4	63	5	2	1	2	6
