	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58
PrileiEVm000068t1	1	0	0	1	32	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000069t1	2	1	2	1	0	15	36	0	0	1	0	0	0	1	1	0	1	0	1	2	0	0	0	1	0	0	0	1	2	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000070t1	7	43	7	0	4	0	0	0	8	2	0	0	0	3	1	0	0	2	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
PrileiEVm000071t1	40	1	3	0	1	0	1	0	0	1	2	2	0	10	0	0	0	0	1	0	2	0	0	0	1	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000072t1	14	39	30	3	6	4	7	4	25	32	2	2	0	1	27	19	10	2	4	17	1	2	3	14	0	0	13	0	3	1	0	3	1	0	3	0	1	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000073t1	1	2	8	0	3	17	70	0	2	51	0	0	0	0	82	64	24	0	1	26	0	0	0	2	0	0	3	0	2	1	8	3	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PrileiEVm000074t1	3	2	4	1	3	0	4	0	5	6	0	1	0	1	6	7	2	0	4	3	0	1	0	1	0	2	2	0	1	0	2	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000075t1	1	2	4	0	4	0	2	0	2	5	0	1	0	0	2	4	2	1	0	1	2	0	0	1	1	0	2	0	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000076t1	13	10	7	0	5	0	4	1	4	6	0	0	0	0	6	9	1	1	3	4	0	0	1	6	0	0	4	0	1	2	1	3	1	0	4	2	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PrileiEVm000077t1	2	3	1	1	2	74	158	1	3	4	1	0	0	0	1	4	0	0	0	2	0	0	0	0	0	0	0	0	1	1	14	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PrileiEVm000078t1	5	2	5	5	0	2	6	2	6	18	0	0	0	1	8	20	3	0	2	5	0	1	1	1	0	1	4	0	2	2	1	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PrileiEVm000079t1	8	2	7	2	3	0	3	3	0	6	1	1	0	0	5	15	3	0	0	1	1	0	0	8	0	0	0	0	1	0	0	4	0	1	2	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000080t1	2	0	0	1	1	6	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000081t1	2	1	2	2	1	0	1	0	0	1	0	0	0	1	3	3	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000082t1	4	15	11	1	4	0	1	0	3	2	0	0	0	3	4	6	3	2	0	0	0	0	1	6	0	0	8	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000083t1	0	1	0	9	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000084t1	0	2	1	1	1	8	47	1	1	2	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
